"Laser power","Counts 100 nm beads","Counts 125 nm beads","Counts 150 nm beads","Counts 200 nm beads","Counts 300 nm beads"
"20 mW",0,0,7423,8231,12390
"30 mW",0,0,8675,8526,12653
"35 mW",0,2810,9087,8448,12498
"40 mW",0,5303,9563,8381,12654
"60  mW",0,14396,9700,8524,12518
"70 mW",7791,6414,9216,8521,12688
"80 mW",33516,8696,9578,8472,12452
"100  mW",72745,10050,9735,8676,12627
"120 mW",103324,10303,9873,8547,12706
"140 mW",124244,11380,10041,8670,12792
"160  mW",154393,13021,9731,8359,12633
"180 mW",206752,19565,10234,8259,12536
"200 mW",249252,31230,11927,9693,13723
