"HiRes SSC-A","HiRes SSC-H","HiRes SSC-W","Time"
299,466,42049.9,0
451.1,591,50022.5,0.00103199
494,673,48105.2,0.00103199
478.4,644,48683.9,0.00412797
361.4,576,41119.3,0.00412797
2566.2,3271,51415,0.00619195
271.7,525,33916.4,0.00722394
477.1,636,49162.3,0.00722394
248.3,448,36322.7,0.0103199
1627.6,2217,48112.9,0.0103199
157.3,259,39802.4,0.0103199
124.8,233,35102.5,0.0134159
2728.7,3394,52689.5,0.0134159
468,715,42896.3,0.0144479
1618.5,2029,52277,0.0154799
2889.9,3604,52550.6,0.0154799
2688.4,3285,53633.8,0.0154799
423.8,566,49070.9,0.0175439
87.1,220,25946.3,0.0185759
2642.9,3347,51749.4,0.0196078
414.7,573,47430.7,0.0216718
244.4,359,44615.6,0.0227038
391.3,561,45711.7,0.0237358
1660.1,2113,51489,0.0247678
432.9,620,45758.9,0.0268318
2473.9,3208,50539.1,0.0268318
358.8,528,44534.7,0.0268318
1505.4,1912,51599.3,0.0268318
2925,3797,50485.3,0.0288958
2602.6,3384,50403.1,0.0309598
2731.3,3384,52895.5,0.0350877
208,316,43137.6,0.0381837
2788.5,3493,52318.1,0.0381837
126.1,317,26069.7,0.0402477
2681.9,3426,51302.1,0.0412797
1764.1,2305,50157.1,0.0423117
507,675,49224.8,0.0433437
2767.7,3348,54176.8,0.0433437
2635.1,3284,52586.4,0.0443756
175.5,308,37342.8,0.0454076
380.9,537,46485.4,0.0474716
419.9,618,44528.4,0.0474716
2662.4,3415,51093.1,0.0485036
340.6,528,42275.7,0.0485036
178.1,352,33159,0.0495356
2546.7,3152,52950.7,0.0515996
124.8,221,37008.6,0.0557276
2787.2,3488,52368.7,0.0567595
1437.8,1881,50094.5,0.0588235
406.9,538,49566.2,0.0588235
1696.5,2189,50791.1,0.0619195
1536.6,2009,50125.7,0.0629515
1500.2,2046,48053.3,0.0629515
2458.3,3144,51242.7,0.0639835
2720.9,3329,53564.7,0.0650155
280.8,388,47429.1,0.0650155
2515.5,3336,49417.2,0.0660475
234,440,34853.2,0.0660475
254.8,352,47439.1,0.0670795
2561,3246,51706,0.0681115
2373.8,3113,49974.1,0.0681115
153.4,313,32118.9,0.0691434
1760.2,2207,52268.4,0.0701754
130,259,32894.5,0.0712074
1583.4,2077,49961.3,0.0732714
2559.7,3205,52340.9,0.0743034
2535,3224,51530.3,0.0743034
2659.8,3325,52424.9,0.0753354
874.9,1073,53436.6,0.0773994
2909.4,3729,51131.8,0.0773994
2158,2805,50419.5,0.0784314
154.7,252,40231.8,0.0794634
484.9,637,49887.6,0.0804954
534.3,772,45357.4,0.0815274
2704,3360,52740.9,0.0825593
262.6,358,48071.9,0.0856553
111.8,237,30915.3,0.0887513
2830.1,3542,52364,0.0887513
526.5,721,47856.7,0.0897833
2497.3,3244,50451,0.0918473
1660.1,2081,52280.8,0.0949432
2681.9,3326,52844.6,0.0949432
1565.2,2000,51288.5,0.0970072
2845.7,3537,52727.1,0.0970072
1554.8,2064,49367.9,0.101135
2605.2,3370,50663,0.101135
2778.1,3489,52182.7,0.102167
274.3,408,44060.1,0.105263
404.3,560,47314.6,0.106295
2779.4,3602,50569.3,0.106295
2873,3593,52403.3,0.107327
2471.3,3073,52703.9,0.107327
145.6,249,38321.5,0.107327
386.1,613,41278.1,0.108359
533,721,48447.6,0.110423
1409.2,1889,48890.1,0.111455
2641.6,3236,53498.1,0.112487
1835.6,2349,51212.4,0.113519
2667.6,3444,50761.9,0.115583
2715.7,3456,51497.7,0.117647
1358.5,1785,49877.1,0.119711
392.6,581,44284.7,0.119711
2814.5,3565,51739.4,0.123839
1501.5,2069,47560.3,0.124871
139.1,225,40515.8,0.126935
410.8,584,46099.6,0.130031
2198.3,2780,51822.9,0.132095
1479.4,1828,53038.3,0.133127
205.4,409,32912.2,0.134159
435.5,604,47253.2,0.137255
416,713,38237,0.137255
2788.5,3572,51161,0.139319
169,260,42598.4,0.141383
150.8,308,32087.1,0.143447
1482,1874,51827.3,0.143447
538.2,700,50387.8,0.144479
159.9,257,40775.1,0.144479
1641.9,2048,52540.8,0.146543
179.4,325,36175.9,0.148607
479.7,692,45430.1,0.149639
180.7,312,37956.3,0.150671
339.3,545,40800.7,0.150671
123.5,241,33583.8,0.151703
434.2,628,45311.7,0.151703
2778.1,3594,50658.2,0.152735
1401.4,1809,50769.6,0.153767
2616.9,3168,54135.5,0.154799
1190.8,1204,64817.5,0.156863
1784.9,2273,51462.9,0.156863
176.8,315,36783.4,0.156863
348.4,513,44508.3,0.157895
2783.3,3425,53257.3,0.159959
269.1,440,40081.2,0.159959
513.5,609,55259,0.160991
244.4,244,65643.4,0.160991
1701.7,2221,50212.8,0.162023
416,564,48338.6,0.163055
475.8,659,47317.2,0.164087
397.8,552,47228.7,0.164087
291.2,541,35275.6,0.165119
421.2,649,42532.8,0.165119
1703,2137,52226.4,0.166151
1493.7,1892,51739.5,0.166151
119.6,224,34991.5,0.168215
530.4,673,51649.8,0.168215
431.6,560,50509.5,0.169247
2362.1,3052,50721.7,0.171311
1550.9,1924,52827.3,0.173375
161.2,369,28629.8,0.174407
1727.7,2196,51560.4,0.175439
1532.7,1984,50628.5,0.178535
114.4,238,31501.3,0.179567
2750.8,3526,51127.7,0.181631
374.4,533,46035,0.184727
119.6,295,26569.8,0.184727
2405,3021,52172.8,0.185759
1552.2,2017,50433.8,0.185759
127.4,296,28207,0.186791
1545.7,2088,48514.8,0.186791
334.1,440,49762.7,0.187823
3034.2,3940,50469.4,0.189886
1726.4,2076,54499.7,0.190918
124.8,313,26130.6,0.192982
2798.9,3563,51481.5,0.195046
228.8,246,60953.8,0.195046
153.4,348,28888.6,0.19711
2706.6,3392,52293.6,0.198142
2782,3468,52572.4,0.200206
2641.6,3406,50827.9,0.200206
2633.8,3369,51234.4,0.201238
2616.9,3329,51517.3,0.201238
262.6,457,37658.1,0.20227
443.3,613,47393.3,0.20227
1487.2,1785,54602.3,0.203302
2620.8,3263,52637.7,0.206398
419.9,657,41885.2,0.20743
215.8,373,37916,0.208462
2897.7,3649,52042.7,0.210526
512.2,625,53708.1,0.211558
101.4,254,26162.8,0.21259
2242.5,2797,52543.6,0.213622
874.9,1122,51102.9,0.215686
3003,3719,52918.7,0.215686
1368.9,1748,51322.8,0.216718
2876.9,3564,52901.4,0.216718
353.6,484,47879.2,0.21775
180.7,369,32093.1,0.218782
522.6,673,50890.2,0.22291
1826.5,2217,53992.6,0.226006
2827.5,3656,50684.6,0.226006
2662.4,3449,50589.5,0.227038
1687.4,2075,53294.2,0.227038
2642.9,3228,53657.1,0.227038
156,340,30069.5,0.227038
167.7,315,34890.1,0.230134
2554.5,3188,52513.1,0.230134
1548.3,2052,49449,0.230134
2571.4,3181,52976.8,0.230134
1654.9,2197,49365.3,0.231166
2515.5,3113,52957.2,0.232198
1857.7,2204,55238.8,0.234262
2844.4,3592,51896,0.235294
163.8,296,36266.2,0.236326
452.4,593,49997.4,0.23839
110.5,252,28737,0.23839
2737.8,3578,50146.6,0.239422
313.3,538,38164.4,0.241486
100.1,217,30231.1,0.241486
1686.1,2060,53640.9,0.242518
2629.9,3390,50841.6,0.244582
2379,3068,50818.2,0.245614
1576.9,2020,51160.3,0.246646
412.1,601,44937.4,0.247678
219.7,296,48642.8,0.24871
192.4,304,41477.4,0.250774
133.9,284,30898.8,0.251806
325,449,47437,0.252838
2606.5,3292,51889.3,0.25387
1654.9,2131,50894.2,0.25387
213.2,390,35826.3,0.254902
2798.9,3520,52110.4,0.256966
291.2,433,44074.1,0.260062
2466.1,3149,51323.7,0.262126
1622.4,2132,49871.3,0.262126
2512.9,3024,54459.5,0.263158
104,237,28758.4,0.263158
2510.3,3217,51139.3,0.26419
144.3,316,29926.7,0.266254
453.7,630,47196.3,0.268318
1989,2551,51098,0.26935
117,233,32908.6,0.271414
163.8,302,35545.7,0.272446
2667.6,3406,51328.2,0.275542
1639.3,2144,50108.8,0.275542
200.2,316,41520,0.276574
388.7,529,48154.7,0.277606
