"HiRes SSC-A","HiRes SSC-H","HiRes SSC-W","Time"
230.1,338,44614.9,0
100.1,236,27797.3,0
189.8,413,30118,0
1060.8,1390,50014.8,0.00312795
114.4,252,29751.3,0.00625589
158.6,357,29114.9,0.00938384
109.2,245,29210.3,0.0104265
140.4,272,33828.1,0.0114691
182,285,41851.1,0.0125118
128.7,241,34997.9,0.0135544
132.6,308,28214.5,0.0145971
208,309,44114.9,0.0156397
123.5,292,27718.1,0.0156397
123.5,260,31129.6,0.0166824
105.3,275,25094.3,0.017725
315.9,401,51628,0.0187677
126.1,248,33322.9,0.020853
1384.5,1960,46293.2,0.020853
198.9,355,36718.6,0.0218956
380.9,401,62251,0.0229383
111.8,228,32135.6,0.0250236
176.8,320,36208.6,0.0250236
462.8,553,54846.4,0.0250236
131.3,268,32107.7,0.0260662
206.7,313,43278.9,0.0281515
230.1,357,42240.4,0.0281515
252.2,308,53662.9,0.0291942
201.5,316,41789.6,0.0291942
197.6,429,30186.3,0.0344074
96.2,233,27058.2,0.03545
91,248,24047.5,0.03545
214.5,288,48810.7,0.0364927
217.1,300,47426.2,0.0375353
214.5,421,33390.7,0.038578
165.1,329,32887.5,0.0396206
115.7,277,27373.7,0.0406633
91,225,26505.7,0.0417059
292.5,557,34415.2,0.0437912
104,243,28048.3,0.0448339
390,625,40894.5,0.0458765
132.6,337,25786.6,0.0458765
141.7,243,38215.8,0.0469192
75.4,213,23199.1,0.0479618
283.4,421,44116.2,0.0490045
120.9,304,26063.5,0.0490045
162.5,380,28025.3,0.0490045
218.4,316,45294.5,0.0531751
133.9,345,25435.6,0.0531751
83.2,216,25243.5,0.0531751
334.1,436,50219.2,0.0531751
100.1,241,27220.6,0.0531751
97.5,225,28398.9,0.0531751
104,259,26315.6,0.0542177
93.6,208,29491.2,0.0552604
130,336,25356.2,0.0552604
170.3,241,46310.3,0.0552604
119.6,269,29137.9,0.0552604
133.9,231,37988.2,0.0573457
115.7,263,28830.9,0.0573457
438.1,701,40957.7,0.0573457
536.9,816,43120.4,0.0583883
561.6,653,56363,0.0583883
332.8,388,56212.3,0.0583883
87.1,208,27443.2,0.059431
88.4,216,26821.2,0.059431
822.9,1085,49704.7,0.0636016
93.6,222,27631.4,0.0636016
93.6,233,26326.9,0.0646442
100.1,240,27334,0.0646442
115.7,228,33256.6,0.0656869
140.4,229,40180.2,0.0667295
352.3,596,38738.8,0.0667295
117,235,32628.6,0.0677722
101.4,253,26266.2,0.0688148
107.9,289,24468.3,0.0709001
288.6,497,38055.7,0.0729854
154.7,340,29818.9,0.0750707
767,941,53417.8,0.0750707
447.2,562,52148.9,0.0781986
117,212,36168.5,0.0792413
114.4,231,32455.9,0.0792413
172.9,272,41658.7,0.0792413
98.8,276,23460,0.0792413
209.3,240,57152.9,0.0792413
146.9,265,36329.2,0.0802839
1666.6,2141,51014.6,0.0813266
1411.8,1584,58411.4,0.0823692
139.1,260,35061.8,0.0854972
123.5,333,24305.4,0.0854972
504.4,481,68724.2,0.0865398
123.5,273,29647.2,0.0865398
175.5,300,38338.6,0.0886251
113.1,208,35635.2,0.0886251
5094.7,6225,53636.3,0.0886251
509.6,653,51144.2,0.0886251
296.4,364,53365,0.0896678
93.6,288,21299.2,0.0896678
127.4,280,29818.9,0.0907104
182,292,40847.8,0.0907104
2637.7,3369,51310.3,0.0917531
98.8,217,29838.5,0.0927957
495.3,581,55869.2,0.0927957
782.6,905,56672.3,0.0927957
94.9,268,23206.6,0.0927957
313.3,533,38522.4,0.0938384
133.9,249,35242,0.0938384
111.8,233,31446,0.0938384
107.9,212,33355.4,0.094881
114.4,279,26872.1,0.0959237
91,269,22170.2,0.0959237
106.6,257,27183.4,0.0969663
167.7,328,33507.3,0.0980089
85.8,211,26649.2,0.0980089
98.8,212,30542.2,0.0980089
91,217,27482.8,0.0980089
84.5,273,20285,0.100094
130,246,34632.8,0.101137
131.3,212,40589,0.101137
375.7,404,60945.2,0.103222
130,320,26624,0.103222
115.7,292,25967.5,0.104265
111.8,248,29544.1,0.104265
88.4,208,27852.8,0.105307
111.8,265,27648.8,0.107393
109.2,276,25929.5,0.108435
256.1,487,34463.6,0.111563
89.7,266,22099.9,0.114691
122.2,232,34519.4,0.118862
157.3,243,42423.1,0.119905
180.7,313,37835,0.120947
100.1,228,28772.6,0.120947
92.3,244,24790.9,0.12199
107.9,252,28060.8,0.123033
114.4,286,26214.4,0.123033
100.1,213,30798.8,0.12616
102.7,229,29391,0.12616
236.6,340,45605.3,0.127203
92.3,240,25204.1,0.129288
117,289,26531.9,0.131374
119.6,333,23537.9,0.131374
