"HiRes SSC-A","HiRes SSC-H","HiRes SSC-W","Time"
338,478,46341.4,0.00103367
104,224,30427.4,0.003101
4007.9,5065,51858.2,0.00413466
198.9,360,36208.6,0.00516833
331.5,449,48385.7,0.00516833
2362.1,2960,52298.2,0.00723566
854.1,1044,53615.2,0.00723566
4236.7,5272,52666.2,0.00826932
382.2,588,42598.4,0.00826932
275.6,423,42699.1,0.00930298
113.1,265,27970.3,0.0113703
4132.7,5225,51835.5,0.0134376
685.1,857,52390.6,0.0134376
666.9,840,52030.9,0.015505
2449.2,3187,50364.2,0.015505
153.4,247,40701.3,0.015505
2572.7,3314,50876.4,0.015505
4553.9,5717,52203,0.0165386
2594.8,3264,52099.5,0.0165386
162.5,281,37898.9,0.0175723
96.2,238,26489.8,0.018606
557.7,748,48862.9,0.0206733
4447.3,5633,51741.2,0.0206733
148.2,288,33723.7,0.021707
256.1,336,49951.7,0.0227406
234,384,39936,0.0227406
110.5,228,31762,0.0237743
130,339,25131.8,0.0237743
2338.7,3104,49377.9,0.024808
4287.4,5161,54442.8,0.024808
2579.2,3244,52105.6,0.024808
3806.4,4515,55250.5,0.024808
748.8,972,50487,0.0258416
936,1274,48148.9,0.0268753
102.7,232,29011,0.0268753
3803.8,4868,51209.1,0.0268753
4161.3,5185,52596.9,0.0289426
4226.3,5440,50914.5,0.0289426
653.9,871,49200.9,0.0299763
2178.8,2683,53220.2,0.03101
2464.8,3184,50732.8,0.0320436
3815.5,4784,52268.5,0.0330773
174.2,321,35565,0.0341109
299,385,50896.8,0.0341109
2273.7,2825,52746.6,0.0351446
4404.4,5442,53040.6,0.0361783
717.6,904,52022.8,0.0361783
106.6,240,29108.9,0.0392793
107.9,267,26484.4,0.0413466
228.8,367,40857.3,0.0413466
3703.7,4757,51024.9,0.0413466
198.9,397,32834,0.0423803
1167.4,1631,46907.9,0.0444476
3760.9,4749,51900.3,0.0454813
300.3,405,48593.7,0.0475486
429,653,43055,0.0485823
140.4,244,37710.1,0.0485823
738.4,928,52146.3,0.0496159
2488.2,3190,51118.1,0.0496159
144.3,277,34140.2,0.0496159
315.9,394,52545.2,0.0527169
182,337,35393.3,0.0527169
85.8,236,23826.2,0.0537506
209.3,308,44534.7,0.0547842
2103.4,2714,50791.6,0.0547842
647.4,869,48823.9,0.0558179
195,320,39936,0.0568516
2000.7,2600,50430,0.0568516
2913.3,3651,52294.2,0.0578852
169,313,35385.3,0.0578852
274.3,460,39079.4,0.0589189
2728.7,3477,51431.7,0.0599526
114.4,241,31109.2,0.0609862
4149.6,5188,52418.7,0.0630536
4048.2,5096,52061,0.0630536
2804.1,3572,51447.2,0.0640872
651.3,852,50098.1,0.0640872
724.1,910,52147.9,0.0651209
137.8,284,31798.8,0.0671882
3793.4,4740,52448.2,0.0682219
291.2,503,37940.5,0.0692556
2537.6,3092,53785.3,0.0702892
377,565,43729.3,0.0702892
254.8,309,54040.7,0.0713229
634.4,929,44753.5,0.0733902
126.1,261,31663.2,0.0744239
1435.2,1877,50110.4,0.0744239
136.5,306,29234.2,0.0744239
4397.9,5328,54095.5,0.0785585
267.8,433,40532.4,0.0785585
2597.4,3288,51771,0.0785585
648.7,885,48037.5,0.0795922
807.3,1122,47154.4,0.0806259
4472,5572,52598.2,0.0816595
253.5,384,43264,0.0816595
253.5,310,53591.5,0.0826932
169,308,35959.7,0.0826932
575.9,752,50189.1,0.0837269
4448.6,5653,51573.2,0.0837269
655.2,818,52492.9,0.0837269
192.4,396,31841.2,0.0847605
117,228,33630.3,0.0847605
241.8,321,49366.4,0.0868279
198.9,329,39620.4,0.0888952
4004,4902,53530.4,0.0888952
4167.8,5262,51908.2,0.0888952
2334.8,2788,54882.9,0.0899289
824.2,1068,50575.6,0.0930299
2662.4,3276,53261,0.0930299
202.8,393,33818.6,0.0930299
271.7,357,49877.1,0.0930299
280.8,389,47307.2,0.0940635
163.8,292,36763,0.0940635
592.8,773,50258.4,0.0940635
106.6,226,30912.1,0.0950972
144.3,272,34767.8,0.0981982
4277,5322,52667.7,0.0981982
609.7,769,51960.1,0.0992318
180.7,392,30210.1,0.0992318
366.6,411,58456.2,0.101299
692.9,893,50850.9,0.103367
547.3,786,45633.4,0.105434
4356.3,5584,51127.2,0.105434
152.1,287,34731.8,0.109568
209.3,360,38101.9,0.109568
110.5,260,27852.8,0.109568
4275.7,5300,52870.2,0.110602
126.1,313,26402.8,0.112669
4110.6,5257,51244.5,0.113703
2441.4,3092,51746.3,0.113703
4223.7,5087,54414.1,0.114737
565.5,819,45251.1,0.11577
4162.6,5233,52130.7,0.11577
2410.2,3088,51151.2,0.116804
4187.3,5133,53461.7,0.119905
4182.1,5228,52425,0.119905
314.6,384,53691.7,0.121972
1696.5,2028,54823.4,0.123006
711.1,970,48044,0.12404
296.4,360,53958,0.12404
309.4,456,44466.8,0.12404
708.5,820,56624.7,0.12404
4218.5,5189,53278.8,0.12404
12890.8,12757,66223.4,0.125073
517.4,657,51610.8,0.125073
335.4,533,41239.7,0.128174
3959.8,4989,52016.3,0.130242
486.2,736,43292.9,0.130242
